Date,Open,High,Low,Close,Adj Close,Volume
22/04/16,176,177.580002,174.529999,175.149994,158.657379,9580800
25/04/16,175.419998,177.100006,174.229996,175.729996,159.182739,7570435
26/04/16,176,182.960007,175.119995,182.139999,164.989166,16571225
27/04/16,183,184.600006,179.600006,183.100006,165.858795,51044735
28/04/16,183.270004,190.339996,183.199997,189.110001,171.302856,66735715
29/04/16,189.600006,190.490005,185.740005,188.589996,170.831833,21534815
02/05/16,189.580002,191.520004,188.300003,188.990005,171.194153,19933955
03/05/16,189.300003,190.360001,185.600006,186.240005,168.70311,14613445
04/05/16,186.199997,186.779999,182.880005,183.520004,166.239243,24070805
05/05/16,183.800003,186.639999,181.130005,182.429993,165.251862,33803715
06/05/16,181.800003,183.979996,181.179993,182.039993,164.898575,11919815
09/05/16,182.960007,189.600006,182.679993,189.240005,171.420624,23103750
10/05/16,189.800003,190.580002,187.619995,189.949997,172.063751,16215080
11/05/16,187.25,192.479996,185.600006,191.270004,173.25946,22916480
12/05/16,191.199997,193.479996,190.020004,191.009995,173.023941,13195830
13/05/16,191.210007,192.179993,188.820007,190.110001,172.208694,15825760
16/05/16,190.589996,197.419998,189.039993,196.059998,177.598434,26057460
17/05/16,197.740005,199.970001,193.539993,193.990005,175.723358,32223600
18/05/16,193.279999,195.529999,192.570007,194.25,175.958862,14691410
19/05/16,194.339996,197.399994,192.899994,193.380005,175.170776,15444495
20/05/16,194.979996,196.300003,192.899994,195.539993,177.12738,13374215
23/05/16,196.550003,197,194.899994,195.619995,177.199844,11301460
24/05/16,195.009995,197.110001,194.229996,195.399994,177.000565,10828000
25/05/16,197,199.839996,197,199.199997,180.442749,12132775
26/05/16,200,205.199997,199.419998,204.210007,184.981018,16518240
27/05/16,205,208.360001,203.600006,205.100006,185.787201,18491290
30/05/16,204.880005,206.970001,204.259995,205.389999,195.586029,14618760
31/05/16,205.399994,209.199997,203.979996,206.600006,196.738266,57458505
01/06/16,206.300003,206.779999,201.110001,203.580002,193.862427,12213510
02/06/16,202.850006,210.5,202.330002,209.809998,199.795029,14912165
03/06/16,211,211.960007,208.419998,209.880005,199.86171,15162245
06/06/16,210,213.800003,208.910004,212.940002,202.775635,16298060
07/06/16,214.5,217.070007,212.419998,213.240005,203.06131,32603455
08/06/16,213.100006,213.220001,208.979996,210.759995,200.699677,14662560
09/06/16,210.759995,211.940002,207.330002,208.009995,198.080948,13298390
10/06/16,208.520004,213.679993,208.119995,212.660004,202.509003,17476725
13/06/16,211.589996,214.350006,210.479996,213.029999,202.861328,13488360
14/06/16,213.020004,214.339996,211.509995,212.919998,202.756592,7728830
15/06/16,213.710007,214.690002,211.419998,214.179993,203.956421,9095765
16/06/16,213.199997,213.470001,209.490005,212.110001,201.985245,11322575
17/06/16,213,215,212,214.169998,203.946915,10541745
20/06/16,211.589996,215.800003,211.070007,215.050003,204.784912,7533270
21/06/16,215.610001,216,213.270004,214.279999,204.051666,7588760
22/06/16,215,216.320007,213.360001,215.770004,205.470535,10105465
23/06/16,215.259995,223,215.259995,222.160004,211.555542,19308820
24/06/16,212.449997,217.289993,208.399994,216.100006,205.784805,26805430
27/06/16,214.089996,217.979996,213.990005,215.149994,204.880142,14452850
28/06/16,216.580002,216.580002,212.490005,213.979996,203.765991,12291115
29/06/16,215,216.759995,214,214.539993,204.299255,11630900
30/06/16,216.380005,222,214.899994,221.419998,210.850845,16237150
01/07/16,222.529999,226.800003,221.309998,225.940002,215.15509,12687335
04/07/16,227,228,223,223.520004,212.850616,10167140
05/07/16,223.779999,226.399994,222.600006,225.279999,214.526596,7817760
07/07/16,226,226,222,222.419998,211.803116,8108555
08/07/16,222.25,224.800003,221.320007,224.050003,213.355316,5656625
11/07/16,226.399994,229.779999,226.220001,228.699997,217.783356,9376860
12/07/16,228.399994,231.190002,227.619995,230.729996,219.716446,8146520
13/07/16,230.539993,230.649994,227.600006,229.339996,218.392792,8914315
14/07/16,229.600006,234.779999,229.080002,234.289993,223.106506,9619720
15/07/16,234.399994,237.240005,232.110001,235.839996,224.582535,9389850
18/07/16,235.020004,236.889999,234.059998,234.899994,223.687393,5684970
19/07/16,234,234.190002,228.699997,230.669998,219.659317,10242095
20/07/16,231.100006,233.75,229.619995,232.559998,221.459106,7295870
21/07/16,232.399994,234,230.080002,230.929993,219.906891,5165295
22/07/16,231,233.270004,229.860001,231.339996,220.297333,9143215
25/07/16,230.009995,237.869995,229.550003,236.550003,225.258636,10202270
26/07/16,236.600006,242.220001,235.429993,240.029999,228.572525,12171520
27/07/16,241.179993,242.899994,235.220001,240.089996,228.629669,40172445
28/07/16,241.389999,245.570007,240.529999,244.699997,233.019608,17546355
29/07/16,245,247.199997,241.800003,243.389999,231.772141,12436060
01/08/16,244.800003,247,240.710007,244.279999,232.619659,8392665
02/08/16,245.199997,248.899994,244.570007,245.679993,233.95282,9455220
03/08/16,246.600006,248.979996,243.529999,247.110001,235.314575,14034865
04/08/16,248.100006,249.059998,244.009995,246.309998,234.552765,9219130
